Protein systematic name	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)
YDR019C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-2.67115	0
YPR181C	2	3	-0.34978	0.00322	1	2	-0.61753	0	2	2	-0.82553	0.13897	2	2	-1.10444	0.43581	1	1	-1.70719	0
YGR159C	1	2	-0.78631	0	3	4	-0.95539	0.14759	0	0	0	0	1	1	-1.27789	0	0	0	0	0
YDR155C	4	5	-0.26461	0.11133	4	7	-0.65768	0.0535	5	8	-1.06062	0.10868	3	6	-1.58668	0.16002	2	3	-1.73525	0.19383
YOL040C	3	9	-0.4323	0.05242	3	9	-0.78459	0.06787	3	7	-1.19631	0.06972	3	9	-1.48967	0.15656	4	9	-1.61752	0.19437
YDL126C	1	1	-0.33253	0	2	3	-0.68214	0.01137	0	0	0	0	1	1	-1.59188	0	0	0	0	0
YGR280C	1	1	-0.7594	0	1	1	-1.03338	0	1	1	-1.40947	0	1	1	-1.72595	0	0	0	0	0
YLL045C	1	1	-0.45884	0	1	1	-0.82055	0	1	1	-1.28149	0	7	7	-1.41683	0.2177	4	4	-1.3614	0.49843
YKR082W	34	53	-0.24465	0.09628	35	53	-0.26755	0.03936	25	37	-0.29097	0.03562	27	37	-0.35455	0.05075	27	45	-0.38128	0.05715
YDR424C	4	6	-0.2542	0.04943	5	8	-0.61926	0.03918	4	7	-1.05065	0.02001	5	6	-1.50515	0.09459	4	5	-1.7482	0.1361
YIL115C	41	66	-0.27567	0.11237	35	63	-0.38191	0.15896	30	55	-0.39216	0.13608	23	43	-0.42683	0.06246	20	38	-0.44564	0.08069
YLR048W	2	3	-0.60287	0.11737	1	1	-0.82577	0	2	3	-1.27152	0.07777	1	3	-1.58784	0	1	2	-1.51635	0
YLR044C	12	34	-0.33914	0.0171	13	49	-0.83907	0.02716	13	32	-1.27719	0.04093	16	42	-1.59336	0.19847	13	35	-1.76662	0.12363
YHR183W	3	3	-0.35872	0.13241	4	5	-0.54051	0.07684	1	1	-0.9679	0	2	2	-1.28778	0.36341	3	3	-1.59857	0.43753
YOL072W	2	2	-0.24868	0.01772	2	2	-0.5069	0.01989	1	1	-1.1121	0	1	3	-1.40863	0	1	2	-1.61519	0
YBL010C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.81445	0	0	0	0	0
YPR074C	2	2	-0.34366	0.05411	3	5	-0.62802	0.01343	2	3	-1.12432	0.05197	4	4	-1.43038	0.04431	4	5	-1.75827	0.12896
YCL040W	0	0	0	0	1	1	-0.41671	0	0	0	0	0	1	2	-1.73794	0	0	0	0	0
YNL030W	0	0	0	0	0	0	0	0	1	2	-1.246	0	2	3	-1.56019	0.05356	3	3	-1.84376	0.07095
YER178W	1	1	-0.35922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YGL202W	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.43309	0	0	0	0	0
YDR192C	4	6	-0.338	0.03956	3	5	-0.6477	0.02864	3	5	-0.95972	0.03679	3	3	-1.2338	0.03766	2	2	-1.49742	0.00562
YGL030W	1	2	-0.48505	0	1	2	-0.78718	0	1	2	-1.09504	0	1	2	-1.41508	0	0	0	0	0
YDL088C	11	17	-0.29887	0.01554	10	20	-0.37683	0.02124	11	17	-0.41792	0.05896	10	14	-0.43254	0.02772	8	13	-0.4486	0.0578
YGL009C	1	1	-0.2871	0	0	0	0	0	3	3	-1.28929	0.10327	2	2	-1.48542	0.3498	2	2	-0.9309	0.60517
YER177W	3	3	-0.26505	0.02954	1	2	-0.6339	0	1	1	-1.13443	0	4	8	-1.42095	0.18786	2	3	-1.67427	0.02857
YMR258C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-0.06039	0	0	0	0	0
YHR128W	2	2	-0.37338	0.00315	2	3	-0.76233	0.00473	1	1	-1.18252	0	1	1	-1.30351	0	2	2	-1.49306	0.0137
YOR117W	2	2	-0.37353	0.09216	0	0	0	0	0	0	0	0	1	2	-1.20852	0	0	0	0	0
YPR035W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.01921	0
YPL004C	0	0	0	0	1	1	-0.79905	0	0	0	0	0	0	0	0	0	0	0	0	0
YNL104C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.72808	0	0	0	0	0
