Protein systematic name	Common name	Description	Average 1	Average 2	Average 3	Average 4	Average 5	Standard deviation 1	Standard deviation 2	Standard deviation 3	Standard deviation 4	Standard deviation 5	Slope	Intercept	r value	p value	std err	Ave uniqiue peptides	Ave MS/MS count	Time point filtered
YLR044C	PDC1	SGDID:S000004034, Chr XII from 234081-232390, Genome Release 64-2-1, reverse complement, Verified ORF, "Major of three pyruvate decarboxylase isozymes; key enzyme in alcoholic fermentation; decarboxylates pyruvate to acetaldehyde; involved in amino acid catabolism; subject to glucose-, ethanol-, and autoregulation; activated by phosphorylation in response to glucose levels; N-terminally propionylated in vivo"	-0.33914	-0.83907	-1.27719	-1.59336	-1.76662	0.0171	0.02716	0.04093	0.19847	0.12363	-0.36093	-0.0803	0.98367	0.0025	0.03813	13.4	38.4	
YGL123W	RPS2	SGDID:S000003091, Chr VII from 277617-278381, Genome Release 64-2-1, Verified ORF, "Protein component of the small (40S) subunit; essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p; homologous to mammalian ribosomal protein S2 and bacterial S5"	-0.38374	-0.77103	-1.12669	-1.423	-1.61866	0.04478	0.0468	0.11096	0.12269	0.01921	-0.31218	-0.12808	0.99266	0.00075	0.02196	8.2	14.6	
YNL189W	SRP1	SGDID:S000005133, Chr XIV from 284260-285888, Genome Release 64-2-1, Verified ORF, "Karyopherin alpha homolog; forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; involved in cotranslational protein degradation; binds ribosome-bound nascent polypeptides; Srp1p and Sts1p couple proteasomes to nascent polypeptides emerging from the ribosome for cotranslational degradation"	-0.34463	-0.71318	-1.15704	-1.50913	-1.68571	0.0295	0.01754	0.04501	0.057	0.15389	-0.34781	-0.0385	0.99081	0.00106	0.02742	6.4	15.2	
YHR174W	ENO2	SGDID:S000001217, Chr VIII from 451327-452640, Genome Release 64-2-1, Verified ORF, "Enolase II, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression induced in response to glucose; ENO2 has a paralog, ENO1, that arose from the whole genome duplication"	-0.29815	-0.65076	-1.09428	-1.59037	-1.72945	0.02896	0.02936	0.04873	0.07313	0.23529	-0.38022	0.06806	0.9891	0.00136	0.03269	11.8	33.8	
YKR095W	MLP1	SGDID:S000001803, Chr XI from 619805-625432, Genome Release 64-2-1, Verified ORF, "Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog, MLP2, that arose from the whole genome duplication"	-0.29332	-0.44097	-0.57157	-0.65565	-0.72826	0.17899	0.08473	0.09683	0.07698	0.10882	-0.10846	-0.21259	0.98821	0.00153	0.0097	21.0	27.4	
YDR064W	RPS13	SGDID:S000002471, Chr IV from 579458-579478,580018-580452, Genome Release 64-2-1, Verified ORF, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S13 and bacterial S15"	-0.38685	-0.74787	-1.20263	-1.4965	-1.63076	0.02425	0.03636	0.0595	0.07084	0.04197	-0.32364	-0.12199	0.98401	0.00242	0.03382	4.2	13.2	
YOR204W	DED1	SGDID:S000005730, Chr XV from 722911-724725, Genome Release 64-2-1, Verified ORF, "ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase; required for translation initiation of all yeast mRNAs; binds to mRNA cap-associated factors, and binding stimulates Ded1p RNA-dependent ATPase activity; mutation in human homolog DBY is associated with male infertility; human homolog DDX3X complements ded1 null mutation; DED1 has a paralog, DBP1, that arose from the whole genome duplication"	-0.49799	-0.8369	-1.26695	-1.50338	-1.70514	0.03339	0.04703	0.15432	0.06858	0.14378	-0.30808	-0.23784	0.98961	0.00127	0.02584	4.0	6.4	
YGR254W	ENO1	SGDID:S000003486, Chr VII from 1000927-1002240, Genome Release 64-2-1, Verified ORF, "Enolase I, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression repressed in response to glucose; protein abundance increases in response to DNA replication stress; N-terminally propionylated in vivo; ENO1 has a paralog, ENO2, that arose from the whole genome duplication"	-0.24408	-0.50861	-0.97902	-1.82441	-2.14365	0.02118	0.02048	0.04909	0.06297	0.04517	-0.51149	0.39453	0.98383	0.00246	0.05376	5.2	10.4	
YGL234W	ADE5,7	SGDID:S000003203, Chr VII from 56482-58890, Genome Release 64-2-1, Verified ORF, "Enzyme of the 'de novo' purine nucleotide biosynthetic pathway; contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities"	-0.29233	-0.55684	-0.79375	-1.45813	-1.99065	0.06042	0.03848	0.03929	0.14541	0.26312	-0.42979	0.27104	0.97849	0.00377	0.05231	5.2	6.2	
YAL038W	CDC19	SGDID:S000000036, Chr I from 71786-73288, Genome Release 64-2-1, Verified ORF, "Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"	-0.30864	-0.68194	-1.12968	-1.5214	-1.73449	0.02434	0.04424	0.08133	0.06277	0.11472	-0.36912	0.03212	0.99399	0.00056	0.02347	15.8	32.6	
YNL096C	RPS7B	SGDID:S000005040, Chr XIV from 443826-443398,444315-444172, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; interacts with Kti11p; deletion causes hypersensitivity to zymocin; homologous to mammalian ribosomal protein S7, no bacterial homolog; RPS7B has a paralog, RPS7A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"	-0.42774	-0.80186	-1.134	-1.35528	-1.47043	0.09304	0.03245	0.04653	0.19322	0.22269	-0.26388	-0.24622	0.97999	0.00339	0.03095	6.2	9.2	
YGR192C	TDH3	SGDID:S000003424, Chr VII from 883810-882812, Genome Release 64-2-1, reverse complement, Verified ORF, "Glyceraldehyde-3-phosphate dehydrogenase (GAPDH), isozyme 3; involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell wall; GAPDH-derived antimicrobial peptides secreted by S. cerevisiae are active against a wide variety of wine-related yeasts and bateria; binds AU-rich RNA; TDH3 has a paralog, TDH2, that arose from the whole genome duplication"	-0.24609	-0.62629	-1.08285	-1.50437	-1.721	0.05189	0.04291	0.05665	0.13935	0.0972	-0.38279	0.11225	0.99414	0.00054	0.02403	17.6	51.8	
YHL015W	RPS20	SGDID:S000001007, Chr VIII from 75412-75777, Genome Release 64-2-1, Verified ORF, "Protein component of the small (40S) ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; homologous to mammalian ribosomal protein S20 and bacterial S10"	-0.39824	-0.74276	-1.19124	-1.51382	-1.59281	0.01877	0.04707	0.03351	0.08806	0.12161	-0.31602	-0.13971	0.9791	0.00362	0.0379	6.6	10.8	
