Protein systematic name	Common name	Description	Average 1	Average 2	Average 3	Average 4	Average 5	Standard deviation 1	Standard deviation 2	Standard deviation 3	Standard deviation 4	Standard deviation 5	Slope	Intercept	r value	p value	std err	Ave uniqiue peptides	Ave MS/MS count	Time point filtered
YPR181C	SEC23	SGDID:S000006385, Chr XVI from 899667-897361, Genome Release 64-2-1, reverse complement, Verified ORF, "GTPase-activating protein, stimulates the GTPase activity of Sar1p; component of the Sec23p-Sec24p heterodimer of the COPII vesicle coat, involved in ER to Golgi transport; substrate of Ubp3/Bre5 complex; ubiquitylated by Ub-ligase Rsp5p; proteasome-mediated degradation of Sec23p is regulated by Cdc48p"	-0.34978	-0.61753	-0.82553	-1.10444	-1.70719	0.00322	0.0	0.13897	0.43581	0.0	-0.32017	0.03963	0.9746	0.00484	0.04248	1.6	2.0	
YDR155C	CPR1	SGDID:S000002562, Chr IV from 769000-768512, Genome Release 64-2-1, reverse complement, Verified ORF, "Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A; N-terminally propionylated in vivo; protein abundance increases in response to DNA replication stress"	-0.26461	-0.65768	-1.06062	-1.58668	-1.73525	0.11133	0.0535	0.10868	0.16002	0.19383	-0.38703	0.10012	0.99015	0.00117	0.0316	3.6	5.8	
YOL040C	RPS15	SGDID:S000005400, Chr XV from 253577-253149, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S15 and bacterial S19"	-0.4323	-0.78459	-1.19631	-1.48967	-1.61752	0.05242	0.06787	0.06972	0.15656	0.19437	-0.30755	-0.18142	0.98537	0.00212	0.03071	3.2	8.6	
YGR280C	PXR1	SGDID:S000003512, Chr VII from 1051725-1050910, Genome Release 64-2-1, reverse complement, Verified ORF, "Essential protein involved in rRNA and snoRNA maturation; competes with TLC1 RNA for binding to Est2p, suggesting a role in negative regulation of telomerase; human homolog inhibits telomerase; contains a G-patch RNA interacting domain"	-0.7594	-1.03338	-1.40947	-1.72595	nan	0.0	0.0	0.0	0.0	nan	-0.32757	-0.41312	0.99836	0.00164	0.01326	0.8	0.8	
YLL045C	RPL8B	SGDID:S000003968, Chr XII from 48629-47859, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L8B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8B has a paralog, RPL8A, that arose from the whole genome duplication"	-0.45884	-0.82055	-1.28149	-1.41683	-1.3614	0.0	0.0	0.0	0.2177	0.49843	-0.24014	-0.3474	0.91709	0.0283	0.06027	2.8	2.8	
YLR048W	RPS0B	SGDID:S000004038, Chr XII from 242232-242321,242681-243349, Genome Release 64-2-1, Verified ORF, "Protein component of the small (40S) ribosomal subunit; RPS0B has a paralog, RPS0A, that arose from the whole genome duplication; required for maturation of 18S rRNA along with Rps0Ap; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal; homologous to human ribosomal protein SA and bacterial S2"	-0.60287	-0.82577	-1.27152	-1.58784	-1.51635	0.11737	0.0	0.07777	0.0	0.0	-0.2589	-0.38416	0.94882	0.01379	0.04975	1.4	2.4	
YHR183W	GND1	SGDID:S000001226, Chr VIII from 470960-472429, Genome Release 64-2-1, Verified ORF, "6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress; GND1 has a paralog, GND2, that arose from the whole genome duplication"	-0.35872	-0.54051	-0.9679	-1.28778	-1.59857	0.13241	0.07684	0.0	0.36341	0.43753	-0.3227	0.0174	0.99475	0.00046	0.01916	2.6	2.8	
YOL072W	THP1	SGDID:S000005433, Chr XV from 194970-196337, Genome Release 64-2-1, Verified ORF, "Nuclear pore-associated protein; component of TREX-2 complex (Sac3p-Thp1p-Sus1p-Cdc31p) involved in transcription elongation and mRNA export from the nucleus; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP; contains a PAM domain implicated in protein-protein binding"	-0.24868	-0.5069	-1.1121	-1.40863	-1.61519	0.01772	0.01989	0.0	0.0	0.0	-0.36348	0.11213	0.98442	0.00233	0.03748	1.4	2.0	
YPR074C	TKL1	SGDID:S000006278, Chr XVI from 694838-692796, Genome Release 64-2-1, reverse complement, Verified ORF, "Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL1 has a paralog, TKL2, that arose from the whole genome duplication"	-0.34366	-0.62802	-1.12432	-1.43038	-1.75827	0.05411	0.01343	0.05197	0.04431	0.12896	-0.36316	0.03254	0.99632	0.00027	0.01804	3.0	3.8	
YNL030W	HHF2	SGDID:S000004975, Chr XIV from 576727-577038, Genome Release 64-2-1, Verified ORF, "Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF1); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity"	nan	nan	-1.246	-1.56019	-1.84376	nan	nan	0.0	0.05356	0.07095	-0.29888	-0.95222	0.99956	0.01882	0.00884	1.2	1.6	
YDR192C	NUP42	SGDID:S000002600, Chr IV from 844861-843569, Genome Release 64-2-1, reverse complement, Verified ORF, "FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p"	-0.338	-0.6477	-0.95972	-1.2338	-1.49742	0.03956	0.02864	0.03679	0.03766	0.00562	-0.29049	-0.06385	0.99924	3e-05	0.00656	3.0	4.2	
YDR192C	NUP42	SGDID:S000002600, Chr IV from 844861-843569, Genome Release 64-2-1, reverse complement, Verified ORF, "FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p"	-0.338	-0.6477	-0.95972	-1.2338	-1.49742	0.03956	0.02864	0.03679	0.03766	0.00562	-0.29049	-0.06385	0.99924	3e-05	0.00656	3.0	4.2	
YDR192C	NUP42	SGDID:S000002600, Chr IV from 844861-843569, Genome Release 64-2-1, reverse complement, Verified ORF, "FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; interacts with Gle1p"	-0.338	-0.6477	-0.95972	-1.2338	-1.49742	0.03956	0.02864	0.03679	0.03766	0.00562	-0.29049	-0.06385	0.99924	3e-05	0.00656	3.0	4.2	
YGL030W	RPL30	SGDID:S000002998, Chr VII from 439091-439093,439324-439638, Genome Release 64-2-1, Verified ORF, "Ribosomal 60S subunit protein L30; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript; homologous to mammalian ribosomal protein L30, no bacterial homolog"	-0.48505	-0.78718	-1.09504	-1.41508	nan	0.0	0.0	0.0	0.0	nan	-0.3098	-0.1711	0.99991	9e-05	0.00287	0.8	1.6	
