Protein systematic name	Common name	Description	Average 1	Average 2	Average 3	Average 4	Average 5	Standard deviation 1	Standard deviation 2	Standard deviation 3	Standard deviation 4	Standard deviation 5	Slope	Intercept	r value	p value	std err	Ave uniqiue peptides	Ave MS/MS count	Time point filtered
YKR082W	NUP133	SGDID:S000001790, Chr XI from 592825-596298, Genome Release 64-2-1, Verified ORF, "Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133"	-0.24465	-0.26755	-0.29097	-0.35455	-0.38128	0.09628	0.03936	0.03562	0.05075	0.05715	-0.03603	-0.19972	0.98137	0.00304	0.00407	29.6	45.0	
YKR082W	NUP133	SGDID:S000001790, Chr XI from 592825-596298, Genome Release 64-2-1, Verified ORF, "Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133"	-0.24465	-0.26755	-0.29097	-0.35455	-0.38128	0.09628	0.03936	0.03562	0.05075	0.05715	-0.03603	-0.19972	0.98137	0.00304	0.00407	29.6	45.0	
YDR424C	DYN2	SGDID:S000002832, Chr IV from 1319617-1319387,1319720-1319698,1319841-1319817, Genome Release 64-2-1, reverse complement, Verified ORF, "Cytoplasmic light chain dynein, microtubule motor protein; required for intracellular transport and cell division; involved in mitotic spindle positioning; forms complex with dynein intermediate chain Pac11p that promotes Dyn1p homodimerization, potentiates motor processivity; Dyn2p-Pac11p complex important for interaction of dynein motor complex with dynactin complex; acts as molecular glue to dimerize, stabilize Nup82-Nsp1-Nup159 complex module of cytoplasmic pore filaments"	-0.2542	-0.61926	-1.05065	-1.50515	-1.7482	0.04943	0.03918	0.02001	0.09459	0.1361	-0.38739	0.12667	0.99612	0.00029	0.01977	4.4	6.4	
YIL115C	NUP159	SGDID:S000001377, Chr IX from 148709-144327, Genome Release 64-2-1, reverse complement, Verified ORF, "FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport; regulates ADP release from the ATP-dependent RNA helicase Dbp5p; forms a stable association with Nup82p, Gle2p and two other FG-nucleoporins (Nsp1p and Nup116p)"	-0.27567	-0.38191	-0.39216	-0.42683	-0.44564	0.11237	0.15896	0.13608	0.06246	0.08069	-0.03849	-0.26898	0.92159	0.02604	0.00936	29.8	53.0	
YIL115C	NUP159	SGDID:S000001377, Chr IX from 148709-144327, Genome Release 64-2-1, reverse complement, Verified ORF, "FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport; regulates ADP release from the ATP-dependent RNA helicase Dbp5p; forms a stable association with Nup82p, Gle2p and two other FG-nucleoporins (Nsp1p and Nup116p)"	-0.27567	-0.38191	-0.39216	-0.42683	-0.44564	0.11237	0.15896	0.13608	0.06246	0.08069	-0.03849	-0.26898	0.92159	0.02604	0.00936	29.8	53.0	
YIL115C	NUP159	SGDID:S000001377, Chr IX from 148709-144327, Genome Release 64-2-1, reverse complement, Verified ORF, "FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) cytoplasmic filaments; contributes directly to nucleocytoplasmic transport; regulates ADP release from the ATP-dependent RNA helicase Dbp5p; forms a stable association with Nup82p, Gle2p and two other FG-nucleoporins (Nsp1p and Nup116p)"	-0.27567	-0.38191	-0.39216	-0.42683	-0.44564	0.11237	0.15896	0.13608	0.06246	0.08069	-0.03849	-0.26898	0.92159	0.02604	0.00936	29.8	53.0	
YDL088C	ASM4	SGDID:S000002246, Chr IV from 300003-298417, Genome Release 64-2-1, reverse complement, Verified ORF, "FG-nucleoporin component of central core of nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport; induces membrane tubulation, which may contribute to nuclear pore assembly; ASM4 has a paralog, NUP53, that arose from the whole genome duplication"	-0.29887	-0.37683	-0.41792	-0.43254	-0.4486	0.01554	0.02124	0.05896	0.02772	0.0578	-0.03552	-0.2884	0.93665	0.01896	0.00767	10.0	16.2	
YDL088C	ASM4	SGDID:S000002246, Chr IV from 300003-298417, Genome Release 64-2-1, reverse complement, Verified ORF, "FG-nucleoporin component of central core of nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport; induces membrane tubulation, which may contribute to nuclear pore assembly; ASM4 has a paralog, NUP53, that arose from the whole genome duplication"	-0.29887	-0.37683	-0.41792	-0.43254	-0.4486	0.01554	0.02124	0.05896	0.02772	0.0578	-0.03552	-0.2884	0.93665	0.01896	0.00767	10.0	16.2	
YDL088C	ASM4	SGDID:S000002246, Chr IV from 300003-298417, Genome Release 64-2-1, reverse complement, Verified ORF, "FG-nucleoporin component of central core of nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport; induces membrane tubulation, which may contribute to nuclear pore assembly; ASM4 has a paralog, NUP53, that arose from the whole genome duplication"	-0.29887	-0.37683	-0.41792	-0.43254	-0.4486	0.01554	0.02124	0.05896	0.02772	0.0578	-0.03552	-0.2884	0.93665	0.01896	0.00767	10.0	16.2	
YJL041W	NSP1	SGDID:S000003577, Chr X from 365784-365784,365903-368373, Genome Release 64-2-1, Verified ORF, "FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) nuclear basket; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier; found in stable complex with Nup82p, Gle2p and two other FG-nucleoporins (Nup159p and Nup116p); also found in stable complex with Nic96p and two other FG-nucleoproteins (Nup49p and Nup57p)"	-0.21888	-0.28611	-0.31173	-0.35834	-0.36623	0.04072	0.04187	0.03182	0.06008	0.05974	-0.03669	-0.19818	0.96829	0.00675	0.00547	32.8	76.4	
