Protein systematic name	Common name	Description	Time points	Ave unique peptide	Ave MS/MS count
YDR019C	GCV1	SGDID:S000002426, Chr IV from 485365-484163, Genome Release 64-2-1, reverse complement, Verified ORF, "T subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm"	1	0.2	0.2
YDR019C	GCV1	SGDID:S000002426, Chr IV from 485365-484163, Genome Release 64-2-1, reverse complement, Verified ORF, "T subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm"	1	0.2	0.2
YDR019C	GCV1	SGDID:S000002426, Chr IV from 485365-484163, Genome Release 64-2-1, reverse complement, Verified ORF, "T subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm"	1	0.2	0.2
YBL010C	YBL010C	SGDID:S000000106, Chr II from 206949-206107, Genome Release 64-2-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles"	1	0.2	0.2
YBL010C	YBL010C	SGDID:S000000106, Chr II from 206949-206107, Genome Release 64-2-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles"	1	0.2	0.2
YBL010C	YBL010C	SGDID:S000000106, Chr II from 206949-206107, Genome Release 64-2-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles"	1	0.2	0.2
YCL040W	GLK1	SGDID:S000000545, Chr III from 50838-52340, Genome Release 64-2-1, Verified ORF, "Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication"	2	0.4	0.6
YCL040W	GLK1	SGDID:S000000545, Chr III from 50838-52340, Genome Release 64-2-1, Verified ORF, "Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication"	2	0.4	0.6
YCL040W	GLK1	SGDID:S000000545, Chr III from 50838-52340, Genome Release 64-2-1, Verified ORF, "Glucokinase; catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources; GLK1 has a paralog, EMI2, that arose from the whole genome duplication"	2	0.4	0.6
YER178W	PDA1	SGDID:S000000980, Chr V from 546817-548079, Genome Release 64-2-1, Verified ORF, "E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes"	1	0.2	0.2
YER178W	PDA1	SGDID:S000000980, Chr V from 546817-548079, Genome Release 64-2-1, Verified ORF, "E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes"	1	0.2	0.2
YER178W	PDA1	SGDID:S000000980, Chr V from 546817-548079, Genome Release 64-2-1, Verified ORF, "E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes"	1	0.2	0.2
YGL202W	ARO8	SGDID:S000003170, Chr VII from 116059-117561, Genome Release 64-2-1, Verified ORF, "Aromatic aminotransferase I; expression is regulated by general control of amino acid biosynthesis"	1	0.2	0.2
YGL202W	ARO8	SGDID:S000003170, Chr VII from 116059-117561, Genome Release 64-2-1, Verified ORF, "Aromatic aminotransferase I; expression is regulated by general control of amino acid biosynthesis"	1	0.2	0.2
